All-alpha 16VPA_10_189_206	P06492_235_252
All-alpha 2WLVA_3_108_125	P04590_243_260
Alpha-beta 2WM3A_5_75_110	Q9HBL8_74_109
All-beta 2WNKA_3_62_82	Q6RUA7_88_108
Alpha-beta 2WTMA_7_196_232	D2YW37_196_232
Alpha-beta 2WUQA_2_65_115	P33652_65_115
All-beta 2WVVA_14_379_420	Q8A3I4_413_454
Alpha-beta 2WYLA_4_147_192	P39300_147_192
Alpha-beta 2WZBA_10_41_60	P00558_42_61
Alpha-beta 2WZOA_2_41_84	Q3YBR2_219_262
Alpha-beta 2WZVA_3_20_52	A0R6D0_19_51
All-alpha 2X1DA_10_260_287	P15802_260_287
Alpha-beta 2X47A_4_132_179	Q9BQ69_222_269
All-alpha 2X5QA_2_132_155	Q97WX5_131_154
All-alpha 2X64A_2_107_130	Q9PE18_105_128
All-alpha 2XCJA_1_1_42	Q83VS7_1_42
All-beta 2XCMC_1_1_22	Q9SUR9_150_171
Alpha-beta 2XD3A_15_1_16	P59213_8_23
All-beta 2XDWA_10_234_288	P23687_234_288
Alpha-beta 2XEPA_10_178_230	Q8KRB7_186_238
All-alpha 2XHSA_4_66_91	P33244_848_873
All-alpha 2XOLA_2_106_122	O30077_104_120
All-alpha 2XPIA_10_473_520	P41889_473_520
All-beta 2XQXA_3_81_103	A0A0H2_891_913
Alpha-beta 2XRNA_3_40_67	Q93PU6_52_79
All-beta 2XWTC_6_61_115	P16473_82_136
Alpha-beta 2XZ9A_3_41_80	Q8R7R4_290_329
All-beta 2XZIA_10_99_123	Q4WQS0_119_143
All-beta 2XZIA_14_34_56	Q4WQS0_54_76
All-alpha 2Y0NA_2_130_165	Q8N5Y2_437_472
All-alpha 2Y1HA_10_39_63	Q17R31_41_65
Alpha-beta 2Y39A_3_1_16	P37975_31_46
All-alpha 2Y3NB_2_16_31	Q6UB36_697_712
All-beta 2Y7SA_5_209_241	Q9JXV4_235_267
All-alpha 2Y8PA_5_106_130	P0C960_123_147
Alpha-beta 2YC3A_5_64_104	P69834_138_178
All-beta 2YEQA_13_40_72	P42251_96_128
Alpha-beta 2YF0A_11_192_221	Q9Y217_192_221
All-beta 2YF0A_13_41_72	Q9Y217_41_72
All-beta 2YFRA_11_159_195	Q74K42_302_338
All-beta 2YFRA_11_196_224	Q74K42_339_367
All-beta 2YFUA_1_98_140	_-_-
All-beta 2YG2A_5_99_128	O95445_115_144
All-alpha 2YGKA_10_152_172	Q97WH1_152_172
All-alpha 2YGKA_10_295_318	Q97WH1_295_318
All-beta 2YGTA_10_22_39	B8QGZ7_48_65
Alpha-beta 2YGUA_1_1_44	P35775_20_63
Alpha-beta 2YGWA_16_264_284	O95822_294_314
All-alpha 2YHCA_4_46_72	P0AC02_74_100
All-alpha 2YHCA_5_171_194	P0AC02_199_222
All-alpha 2YHCA_6_1_24	P0AC02_29_52
Alpha-beta 2YHGA_10_153_180	Q21PD3_649_676
Alpha-beta 2YI9A_10_135_163	P22173_135_163
All-alpha 2YI9A_10_17_38	P22173_17_38
All-beta 2YI9A_13_360_383	P22173_360_383
All-alpha 2YICA_10_372_397	A0R2B1_731_756
Alpha-beta 2YICA_14_720_748	A0R2B1_1079_1107
Alpha-beta 2YRRA_6_258_297	Q5SLX0_258_297
All-beta 2YVPA_1_1_38	Q5SJY9_1_38
All-alpha 2YVPA_5_77_100	Q5SJY9_77_100
All-beta 2YVSA_7_62_77	Q5SM78_62_77
All-alpha 2YVTA_7_103_118	O67769_103_118
Alpha-beta 2YW3A_3_62_104	Q53W90_62_104
Alpha-beta 2YWKA_1_18_54	P57052_11_47
Alpha-beta 2YYYA_10_233_255	Q58546_233_255
Alpha-beta 2Z8FA_3_66_119	A8W790_92_145
All-beta 2Z9IA_10_138_183	O53896_286_331
Alpha-beta 2ZAYA_1_77_123	Q1JZD9_223_269
Alpha-beta 2ZC2A_1_1_31	Q8DT97_122_152
All-alpha 2ZC2A_3_32_59	Q8DT97_153_180
All-alpha 2ZCXA_1_1_49	Q9FBX0_1_49
All-alpha 2ZDHA_10_83_114	Q5SHZ3_83_114
Alpha-beta 2ZDIC_2_75_111	O58263_72_108
All-alpha 2ZFDA_2_110_143	Q8LAS7_110_143
All-alpha 2ZFUA_3_20_50	O43159_261_291
Alpha-beta 2ZHGA_3_1_49	P0ACS2_1_49
All-alpha 2ZHJA_10_134_157	P55260_131_154
Alpha-beta 2ZHZA_4_16_38	Q2SZ09_16_38
All-alpha 2ZIHA_10_208_224	Q06385_206_222
Alpha-beta 2ZJ8A_13_459_493	O73946_459_493
Alpha-beta 2ZKMX_15_476_508	Q00722_476_508
All-beta 2ZO4A_10_1_38	Q5SIE5_1_38
Alpha-beta 2ZOGA_6_390_439	Q9D1A2_386_435
Alpha-beta 2ZUEA_10_112_166	O59147_112_166
Alpha-beta 2ZUVA_10_173_209	E8MF13_173_209
All-alpha 3A8PA_10_197_217	Q6ZPF3_691_711
All-beta 3ABDA_2_68_95	Q9UI95_52_79
All-alpha 3ABZA_15_163_184	D1GCC6_163_184
All-beta 3ACAA_8_1_24	Q9UKK9_13_36
All-beta 3ADYA_2_80_102	Q5ZS45_95_117
All-beta 3AEHA_10_195_217	O88093_1266_1288
All-beta 3AEHA_10_43_71	O88093_1114_1142
Alpha-beta 3AEKA_10_208_235	P26164_195_222
All-beta 3AFOA_10_175_200	Q06892_201_226
All-beta 3AFPA_3_16_32	P46390_16_32
All-alpha 3AG3A_10_1_24	P00396_1_24
All-alpha 3AG3A_15_171_195	P00396_171_195
Alpha-beta 3AG3B_7_207_226	P68530_207_226
Alpha-beta 3AJ7A_10_398_432	P53051_398_432
Alpha-beta 3AJXA_8_1_21	Q9LBW4_1_21
All-alpha 3AKBA_4_80_95	Q9F377_84_99
All-alpha 3AL9A_10_270_285	P70207_300_315
All-beta 3AL9A_12_31_49	P70207_61_79
All-alpha 3ANRA_10_108_123	Q13627_230_245
All-alpha 3ANWB_2_122_162	Q5JIT2_115_155
All-alpha 3AOGA_2_383_421	Q72IC1_367_405
All-alpha 3AONA_2_29_77	P43435_22_70
Alpha-beta 3APQA_5_146_184	Q9DC23_178_216
Alpha-beta 3AQLA_10_274_302	_-_-
All-beta 3AQQA_2_21_55	Q9Y2V2_21_55
All-alpha 3ARXA_10_257_286	Q9AMP1_278_307
All-alpha 3AT7A_7_169_188	Q25C86_168_187
Alpha-beta 3ATSA_3_308_352	P9WI99_329_373
Alpha-beta 3ATVA_10_138_182	P0DMV8_134_178
All-alpha 3AU4A_10_64_116	Q9HD67_1547_1599
All-alpha 3AU8A_10_224_249	O96693_224_249
All-beta 3AW5A_10_35_85	Q8ZWA8_64_114
Alpha-beta 3AW5A_10_86_119	Q8ZWA8_115_148
All-alpha 3AWMA_10_156_181	O24782_156_181
Alpha-beta 3AYRA_8_183_236	Q9URH5_169_222
Alpha-beta 3B0PA_10_115_132	Q5SMC7_115_132
All-alpha 3B1FA_10_230_252	Q8DUW0_227_249
Alpha-beta 3B46A_6_69_115	P47039_66_112
Alpha-beta 3B59A_5_16_57	Q2GAG3_14_55
All-beta 3B5MA_3_99_134	Q7UTD8_97_132
Alpha-beta 3B6EA_3_17_66	Q9BYX4_291_340
All-alpha 3B9WA_11_95_112	Q82X47_119_136
All-beta 3BDRA_1_98_156	Q8DI91_98_156
All-alpha 3BFMA_3_164_187	Q1GJN9_163_186
Alpha-beta 3BLNA_2_1_54	Q72YY9_1_53
All-alpha 3BLXB_10_294_312	P28241_309_327
Alpha-beta 3BLXB_11_205_220	P28241_220_235
All-alpha 3BMVA_10_282_322	P26827_309_349
Alpha-beta 3BMXA_20_180_203	P40406_180_203
All-beta 3BN6A_1_114_158	Q95114_383_427
All-beta 3BNKA_4_17_33	Q8TTU7_17_33
All-alpha 3BNYA_4_247_294	Q9UR08_247_294
All-alpha 3BONA_10_86_107	P0DPI1_86_107
Alpha-beta 3BQ9A_10_306_324	_-_-
All-beta 3BRKX_11_330_365	P39669_330_365
All-alpha 3BRUA_2_56_101	Q3J6K8_53_98
All-beta 3BS0A_10_325_348	A5W4F4_345_368
All-alpha 3BU8A_5_119_141	Q15554_202_224
All-alpha 3BZCA_4_69_113	Q9HTY8_69_113
All-alpha 3C0UA_6_100_115	P0AA97_98_113
Alpha-beta 3C24A_10_162_177	Q28MS9_161_176
All-alpha 3C4BA_3_89_108	Q8R418_1734_1753
All-beta 3C6KA_13_35_58	P52788_20_43
Alpha-beta 3C8DA_10_192_216	A0A0H2_189_213
All-alpha 3CCGA_4_1_23	Q97JL1_1_22
All-alpha 3CERA_10_246_268	Q8G5J2_236_258
All-alpha 3CETA_10_166_185	Q6M145_166_185
Alpha-beta 3CEUA_6_134_161	Q8AA18_134_161
All-beta 3CEWA_3_51_76	A0A380_51_76
All-beta 3CJJA_4_97_143	Q15109_118_164
All-alpha 3CJNA_4_37_72	Q5LTF6_34_69
All-beta 3CJYA_6_198_253	Q2G812_197_252
All-beta 3CK2A_5_142_157	A0A0H2_139_154
Alpha-beta 3CKCA_11_113_148	Q8A1G2_137_172
Alpha-beta 3CKJA_8_35_86	Q73WU1_35_86
All-beta 3CM1A_3_1_36	Q47N25_1_35
All-alpha 3CM3A_2_110_164	P07239_105_159
Alpha-beta 3CNBA_2_1_47	Q47UF8_58_104
Alpha-beta 3CNHA_5_102_140	Q9RTQ1_101_139
All-beta 3CNWA_3_78_109	Q81AY6_78_109
Alpha-beta 3CPTB_1_69_116	Q9JHS3_63_110
All-alpha 3CQCB_5_129_170	Q8WUM0_1058_1099
All-alpha 3CR3A_7_59_81	Q9CIV7_59_81
Alpha-beta 3CRVA_10_270_302	Q4JC68_270_302
All-alpha 3CSKA_10_502_525	Q08225_502_525
All-beta 3CSLA_17_87_119	Q79AD2_121_153
Alpha-beta 3CSSA_1_1_34	A4HFB4_1_34
Alpha-beta 3CSSA_2_1_19	A4HFB4_1_19
Alpha-beta 3CSVA_10_104_124	Q1GCP1_103_123
All-alpha 3CSVA_10_225_251	Q1GCP1_224_250
All-alpha 3CSXA_1_16_43	A1KYE3_13_40
All-alpha 3CT5A_6_123_143	P15132_123_143
Alpha-beta 3CT9A_10_32_59	Q8A1V9_31_58
Alpha-beta 3CTPA_10_173_207	A6TKU5_172_206
Alpha-beta 3CTYA_10_171_196	Q9HJI4_171_196
All-alpha 3CTZA_10_1_25	Q9NQW7_1_25
All-alpha 3CTZA_11_334_372	Q9NQW7_334_372
All-beta 3CU3A_4_66_90	D0VWT9_66_90
All-beta 3CUKA_10_192_239	P14920_192_239
All-alpha 3CWNA_10_275_294	P0A870_255_274
Alpha-beta 3CWVA_10_201_240	Q1CZR7_200_239
All-alpha 3CX5B_10_41_59	P07257_57_75
All-alpha 3CX5I_1_17_57	P22289_18_58
Alpha-beta 3CZGA_13_337_377	Q6UVM5_337_377
Alpha-beta 3CZPA_10_40_75	Q9HYF1_38_73
All-alpha 3D31C_3_181_210	Q8TTZ4_158_187
Alpha-beta 3D3AA_4_1_50	Q8AB22_21_70
Alpha-beta 3D6JA_5_157_210	Q5LGR4_154_207
All-alpha 3D9NA_2_43_101	Q9UPN6_43_101
All-beta 3DB2A_10_194_244	B8FRW3_193_243
All-beta 3DCZA_5_55_70	Q9WY88_72_87
Alpha-beta 3DD6A_7_156_208	Q81LA9_146_198
Alpha-beta 3DK9A_3_1_53	P00390_45_97
Alpha-beta 3DLCA_2_177_219	Q6LY14_176_218
Alpha-beta 3DNFA_10_73_96	O67625_73_96
Alpha-beta 3DNSA_2_79_131	Q97MP0_76_128
Alpha-beta 3DNSA_3_101_131	Q97MP0_98_128
All-beta 3DNSA_4_18_34	Q97MP0_15_31
All-alpha 3DNZA_4_265_304	P00800_497_536
Alpha-beta 3DRZA_1_55_103	Q9NXV2_93_141
All-alpha 3DTNA_2_166_181	Q8PTS9_164_179
Alpha-beta 3DUKA_1_1_18	Q1H3V3_1_17
All-beta 3DUKA_3_101_125	Q1H3V3_100_124
All-alpha 3E10A_2_114_136	Q97IT9_113_135
Alpha-beta 3E13X_10_231_256	Q0PBW4_247_272
All-beta 3E1EA_2_21_37	Q5LMG0_28_44
Alpha-beta 3E2DA_13_384_409	Q93P54_403_428
All-alpha 3E4BA_13_346_365	_-_-
Alpha-beta 3E8OA_1_1_58	Q9RSM4_1_57
All-beta 3EATX_2_223_263	Q9I1L4_221_261
Alpha-beta 3EB2A_10_185_209	Q6N9H8_185_209
All-alpha 3EBBA_7_177_196	Q9Y263_668_687
All-beta 3EDPA_3_111_132	Q92A11_108_129
All-beta 3EFMA_10_219_277	Q9X6A5_254_312
All-beta 3EGAA_1_30_71	Q9HAT8_42_83
All-alpha 3EGQA_2_110_164	O28458_109_163
All-alpha 3EGWC_5_132_156	P11350_132_156
All-alpha 3EH1A_10_714_737	O95487_1231_1254
Alpha-beta 3EJXA_2_73_120	Q9LFG2_124_171
Alpha-beta 3ELEA_4_72_119	D0VX02_72_119
All-beta 3EN8A_5_62_89	Q13PU4_61_88
Alpha-beta 3EOQA_10_335_377	Q5SIV0_335_377
All-alpha 3EPOA_12_415_451	Q9A6Q5_415_451
All-alpha 3EPWA_10_35_50	Q9GPQ4_24_39
All-beta 3EQEA_4_91_114	O32085_81_104
Alpha-beta 3EQUA_10_105_148	P08149_144_187
All-alpha 3ER9B_10_72_90	P23371_72_90
Alpha-beta 3EULA_2_83_106	P9WGM5_76_99
Alpha-beta 3EWKA_2_1_36	Q609M8_99_134
All-beta 3EYPA_13_391_417	Q8A5P6_413_439
All-alpha 3EZXA_3_45_65	O30641_46_66
All-beta 3EZYA_13_210_230	Q9WYP5_208_228
All-alpha 3F02A_10_103_139	Q99574_106_142
All-beta 3F02A_10_153_185	Q99574_156_188
Alpha-beta 3F02A_8_186_230	Q99574_189_233
Alpha-beta 3F14A_1_27_58	_-_-
Alpha-beta 3F1LA_5_174_195	P31808_174_195
All-beta 3F1PB_3_64_88	P27540_413_437
All-alpha 3F1TA_1_1_21	Q9I3C8_1_21
All-beta 3F1XA_10_219_245	A6KZB9_219_245
All-alpha 3F2BA_10_831_856	Q5L0J3_1245_1270
All-beta 3F3BA_2_68_115	P54328_68_115
All-beta 3F3FA_10_107_132	P53011_105_130
All-beta 3F3FA_10_263_288	P53011_261_286
All-alpha 3F3FC_10_401_443	P46673_401_443
All-alpha 3F3KA_10_126_151	P36136_126_151
Alpha-beta 3F40A_2_28_56	_-_-
Alpha-beta 3F44A_5_37_70	Q5FLP2_36_69
Alpha-beta 3F47A_11_41_62	Q58194_41_62
All-alpha 3F4AA_1_50_76	P42937_29_55
Alpha-beta 3F4AA_3_77_127	P42937_56_106
All-beta 3F4LA_10_270_295	P46853_270_295
Alpha-beta 3F67A_6_21_66	A6TGL0_45_90
All-alpha 3F6TA_13_316_331	Q5FIG7_315_330
Alpha-beta 3F6VA_2_16_68	Q0S966_1_46
Alpha-beta 3F6YA_10_218_235	P28907_256_273
Alpha-beta 3F7SA_2_16_66	Q88EB0_15_65
All-beta 3F7WA_10_17_53	Q47ME9_16_52
Alpha-beta 3F8DA_2_67_115	Q8X236_67_115
All-alpha 3F8KA_2_22_37	Q97V23_22_37
Alpha-beta 3F8KA_2_38_92	Q97V23_38_92
Alpha-beta 3F8MA_3_88_140	A0QQ72_84_136
Alpha-beta 3F8TA_10_164_185	Q8TWB5_164_185
Alpha-beta 3F9MA_11_173_197	P35557_168_192
Alpha-beta 3F9TA_10_329_372	Q60358_328_371
All-alpha 3F9TA_10_55_70	Q60358_54_69
All-alpha 3FBLA_1_32_82	Q70LC7_82_132
Alpha-beta 3FDSC_4_145_187	P57766_145_187
All-beta 3FFVA_4_86_102	P0A8U0_86_102
Alpha-beta 3FG8A_1_1_51	Q0S7I6_107_157
All-alpha 3FGAB_10_188_245	Q13362_221_278
Alpha-beta 3FGHA_1_1_16	Q00059_153_168
All-alpha 3FHGA_5_60_95	Q97ZK2_60_95
All-beta 3FHHA_10_430_469	P72412_450_489
All-beta 3FIDA_4_246_296	Q8ZPT3_269_319
All-beta 3FIQA_2_67_116	P08937_83_131
All-beta 3FKAA_1_69_118	Q5LUH0_68_117
Alpha-beta 3FL2A_1_45_98	Q96T88_714_767
All-alpha 3FLOB_2_150_180	P13382_1412_1442
All-beta 3FM2A_3_63_86	Q3M4Y5_62_85
All-beta 3FN9A_16_204_223	Q5LJ68_223_242
Alpha-beta 3FN9A_4_279_335	Q5LJ68_298_354
Alpha-beta 3FPCA_3_110_153	P35630_110_153
All-alpha 3FRHA_1_1_56	Q763K9_1_54
All-beta 3FS8A_10_1_48	Q6TFC6_1_48
All-beta 3FS8A_6_67_122	Q6TFC6_67_122
All-beta 3FSDA_2_53_98	Q2RRQ9_52_97
Alpha-beta 3FSGA_4_86_132	Q04D10_83_129
All-beta 3FVZA_2_182_235	P14925_673_726
Alpha-beta 3FXQA_7_225_266	P94678_224_265
All-beta 3FZXA_5_33_48	Q5LD59_51_66
Alpha-beta 3G3SA_5_173_220	_-_-
Alpha-beta 3G98A_3_17_60	O67323_773_816
Alpha-beta 3GB5A_5_128_170	Q9DCX8_160_202
Alpha-beta 3GEBA_7_149_166	O00167_413_430
Alpha-beta 3GFZA_10_317_375	A6T8V8_309_367
Alpha-beta 3GKEA_4_246_301	Q5S3I3_245_300
Alpha-beta 3GL3A_3_60_93	Q8KDH8_86_119
All-alpha 3GL5A_6_60_75	Q93RV7_58_73
Alpha-beta 3GM5A_1_103_151	Q8RCQ6_94_142
Alpha-beta 3GMIA_13_70_85	Q58361_68_83
Alpha-beta 3GO2A_10_345_388	Q13PB7_343_386
Alpha-beta 3GQCA_12_316_346	Q9UBZ9_645_675
Alpha-beta 3GRZA_3_155_192	Q04AV7_271_308
All-alpha 3GT7A_3_61_76	Q2LQE8_65_80
All-alpha 3GVOA_13_18_57	Q80U58_721_760
Alpha-beta 3GWNA_3_21_37	Q5UP54_52_68
All-alpha 3GXHA_3_72_96	A4Y1H6_93_117
Alpha-beta 3GYKA_1_128_174	Q5LKL9_195_241
All-alpha 3H14A_10_232_250	Q5LQA4_238_256
Alpha-beta 3H2BA_4_69_90	_-_-
Alpha-beta 3H51A_1_25_76	Q8PCA7_43_94
Alpha-beta 3H6JA_10_240_290	Q9L6G4_240_290
All-beta 3H8TA_6_143_159	A2I2W2_168_184
Alpha-beta 3H9WA_1_63_109	A1U4R9_83_129
All-beta 3HBKA_4_141_178	A6LB94_165_202
Alpha-beta 3HDFA_2_48_95	P27359_73_120
Alpha-beta 3HF7A_1_80_127	A6TCM0_280_327
Alpha-beta 3HG7A_4_1_41	A4SIK7_1_39
Alpha-beta 3HH0A_3_1_50	Q81H70_1_48
Alpha-beta 3HHFA_1_174_204	Q9JXW7_260_290
Alpha-beta 3HHPA_11_34_61	P61889_34_61
Alpha-beta 3HI0A_10_452_501	A9CJF9_451_500
All-alpha 3HI0A_7_167_203	A9CJF9_166_202
All-beta 3HI7A_14_68_104	P19801_88_124
All-beta 3HIEA_4_95_129	P33332_165_199
Alpha-beta 3HIEA_5_61_94	P33332_131_164
Alpha-beta 3HJ4A_11_91_130	C7AJA4_92_131
Alpha-beta 3HKMA_3_100_132	Q84T68_100_132
All-alpha 3HL0A_10_172_195	A9CHP3_170_193
Alpha-beta 3HL0A_13_86_102	A9CHP3_84_100
Alpha-beta 3HN0A_5_120_167	A6LBR3_139_186
Alpha-beta 3HNRA_1_154_193	Q6HDF0_154_193
Alpha-beta 3HRAA_4_62_102	Q838Q8_62_102
Alpha-beta 3HRDC_3_132_176	Q0QLF4_132_176
Alpha-beta 3HRZC_10_1_47	Q91132_1264_1310
Alpha-beta 3HTVA_2_204_260	P32718_203_259
Alpha-beta 3HVAA_1_1_42	Q9HUK6_255_296
Alpha-beta 3HWWA_13_226_261	P17109_226_261
All-alpha 3HZHB_1_58_89	O51614_47_78
Alpha-beta 3I0WA_10_235_275	Q97FM4_235_275
Alpha-beta 3I4JA_3_62_103	Q9RZ32_62_103
Alpha-beta 3I5XA_12_127_154	P15424_161_188
All-beta 3I94A_3_31_87	Q55891_31_87
All-beta 3IA1A_4_106_127	Q72GM6_120_141
Alpha-beta 3IBSA_1_165_206	Q8A9A9_243_284
Alpha-beta 3IBWA_1_31_79	Q8KC80_682_730
All-alpha 3IC7A_1_78_113	Q8A870_75_110
Alpha-beta 3ICSA_11_510_555	A0A6L7_476_521
Alpha-beta 3IE5A_3_27_73	Q8H1L1_21_67
Alpha-beta 3IEVA_3_118_173	O67800_111_166
All-alpha 3IH6A_1_112_155	Q7VVY4_366_409
Alpha-beta 3IHKA_2_19_70	Q8DVV9_19_70
All-alpha 3IKBA_3_56_78	Q8DTT5_53_75
All-alpha 3IKHA_10_136_160	A6T989_134_158
All-beta 3IL6A_10_296_320	Q820T1_296_320
All-beta 3IP3A_6_195_247	Q9WYQ6_194_246
All-beta 3ISQA_13_314_329	P32754_321_336
All-beta 3ITJA_10_85_115	P29509_66_96
Alpha-beta 3JQ1A_10_17_74	A6KXE4_49_106
All-alpha 3JS8A_10_294_316	B5MGF8_338_360
All-alpha 3JUWA_2_16_48	Q7VZN9_13_45
Alpha-beta 3JVNA_2_32_83	Q5E4K9_32_83
Alpha-beta 3JXPA_10_193_226	Q88QV5_191_224
Alpha-beta 3JZLA_10_153_196	_-_-
All-beta 3K1UA_11_56_87	Q97IW1_53_84
All-alpha 3K2OA_1_295_335	Q6NYC1_294_334
All-beta 3K2ZA_4_131_184	O33927_132_185
Alpha-beta 3KBRA_5_113_148	Q01269_135_170
Alpha-beta 3KEVA_7_106_125	D1MPT4_106_125
Alpha-beta 3KHNA_1_1_43	Q729W9_79_121
Alpha-beta 3KRUA_10_208_257	B0KAH1_208_257
Alpha-beta 3KT7A_10_94_120	P40032_113_139
All-beta 3KUVA_2_64_117	Q1EMV2_64_117
Alpha-beta 3KVNA_10_139_193	O33407_153_207
Alpha-beta 3KWSA_1_1_34	A6LIL3_26_59
All-beta 3KXYA_2_25_65	P26995_25_65
All-alpha 3KZQA_5_109_137	Q87MW5_109_137
All-alpha 3KZVA_4_94_120	P40579_94_120
Alpha-beta 3KZVA_5_156_183	P40579_156_183
Alpha-beta 3L0QA_13_50_80	Q665C6_48_78
Alpha-beta 3L1LA_1_389_423	P60063_389_423
Alpha-beta 3L2BA_4_36_62	Q8XIQ9_97_123
All-beta 3L2HA_2_125_158	B7J8Z8_124_157
Alpha-beta 3L3SA_7_99_126	Q5LQZ3_97_124
Alpha-beta 3L46A_2_67_90	Q9H8V3_316_339
Alpha-beta 3L4AA_1_1_47	Q7PGA3_22_68
All-beta 3L4HA_1_72_99	Q76N89_1019_1046
Alpha-beta 3L4NA_3_20_51	Q12438_132_163
All-beta 3L5IA_10_100_128	P40189_422_450
All-beta 3L5IA_10_129_155	P40189_451_477
Alpha-beta 3L6DA_10_127_165	Q88J51_128_166
All-alpha 3L8MA_2_49_64	Q49X04_49_64
Alpha-beta 3L9WA_11_164_208	P03819_559_603
All-alpha 3L9WA_2_120_163	P03819_515_558
Alpha-beta 3LCVB_10_118_148	Q7M0R2_111_141
All-alpha 3LCVB_7_1_47	Q7M0R2_1_40
All-alpha 3LHBA_2_98_149	P02208_99_150
Alpha-beta 3LHHA_1_17_73	Q8EDE1_184_240
All-alpha 3LHQA_5_1_16	Q7CR15_1_13
All-beta 3LJUX_10_138_181	O75689_122_165
All-beta 3LLPA_15_392_409	Q16658_392_409
All-beta 3LM4A_14_32_47	Q0S9X1_31_46
Alpha-beta 3LNRA_3_19_62	Q9I6V6_16_59
All-alpha 3LS0A_3_59_77	P73048_75_93
Alpha-beta 3LUIA_2_54_75	Q15036_51_72
Alpha-beta 3LYXA_1_1_51	Q486I1_1_51
All-alpha 3M00A_15_311_332	Q40577_309_330
Alpha-beta 3M1AA_3_214_250	Q82PV2_214_250
All-alpha 3M1CA_10_380_416	P89445_427_463
Alpha-beta 3M5BA_1_60_109	Q9Y2Y4_58_107
Alpha-beta 3M9ZA_3_17_38	P27811_105_126
Alpha-beta 3MKVA_10_228_274	B2T4I1_226_272
Alpha-beta 3MMIA_10_270_312	P32492_1355_1397
All-beta 3MMYA_11_26_56	P78406_26_56
All-beta 3MSWA_2_39_69	Q5LAR6_63_93
Alpha-beta 3MT0A_10_159_179	Q9I2V3_156_176
All-beta 3MTIA_2_139_166	Q5M2Z6_136_163
Alpha-beta 3MTJA_11_381_431	Q3SKI5_374_424
Alpha-beta 3MTKA_4_61_92	A4XHQ4_245_276
All-beta 3MTWA_10_1_58	Q9A4Z9_27_84
All-alpha 3MVAO_10_215_257	Q99551_268_310
All-alpha 3MVAO_5_63_99	Q99551_116_152
All-alpha 3MVCA_5_18_44	Q18086_212_238
Alpha-beta 3MVGA_10_1_27	O04358_24_50
Alpha-beta 3MVSA_2_23_69	Q99PF4_46_92
All-beta 3MVSA_2_70_102	Q99PF4_93_125
Alpha-beta 3MXTA_3_1_57	Q9PIK2_1_54
All-beta 3MYXA_3_177_223	Q88AY9_176_222
All-alpha 3N2OA_13_399_423	Q7MK24_399_423
All-beta 3N5FA_13_259_286	Q53389_259_286
All-beta 3N6YA_2_102_124	Q9I3B5_123_145
All-beta 3N8BA_1_1_54	O51076_3_56
All-alpha 3N9KA_10_250_270	P29717_289_309
All-beta 3N9YA_10_349_375	P05108_389_415
All-alpha 3NDNA_13_139_154	P9WGB5_131_146
All-alpha 3NE5A_10_188_212	P38054_181_205
Alpha-beta 3NE8A_4_144_165	A0A0H3_319_340
All-beta 3NEDA_8_96_126	D1MPT3_88_118
Alpha-beta 3NEMA_10_280_304	Q52428_280_304
All-beta 3NETA_12_93_124	Q8YMC2_90_121
All-alpha 3NETA_4_167_213	Q8YMC2_164_210
Alpha-beta 3NETA_7_1_36	Q8YMC2_1_33
All-beta 3NFWA_4_97_144	E5Q9D7_76_123
Alpha-beta 3NJCA_2_112_153	P42955_102_143
Alpha-beta 3NUQA_3_211_268	P53078_209_266
All-alpha 3NV0A_4_1_22	Q9XVS8_201_222
All-beta 3NVXA_10_196_249	P21062_209_262
All-alpha 3O39A_1_59_96	Q8XDZ4_98_135
All-beta 3O6ZA_1_1_43	P37128_1_43
All-alpha 3OCRA_10_236_251	Q48HR6_234_249
Alpha-beta 3OG9A_6_147_190	Q9CJC1_144_187
Alpha-beta 3OGKB_18_355_394	O04197_355_394
Alpha-beta 3OH3A_10_248_283	D3G6S4_248_283
Alpha-beta 3OJGA_10_160_176	Q5KZU5_156_172
All-alpha 3OOPA_3_22_37	Q926T1_19_34
Alpha-beta 3OP7A_2_219_276	_-_-
Alpha-beta 3OQBA_2_345_376	Q89RD2_344_375
All-alpha 3OR1B_10_320_354	E2QR96_320_354
Alpha-beta 3OS6A_10_93_139	A0A6H3_93_139
All-beta 3OS7A_6_1_50	Q97L65_1_49
All-beta 3OSKA_2_25_56	P16410_60_91
Alpha-beta 3OT2A_3_99_152	Q3M655_98_151
Alpha-beta 3OU2A_5_101_133	D7PC21_101_133
All-beta 3OW8A_10_156_186	Q9GZS3_140_170
All-alpha 3OWAA_10_320_347	A0A6H3_317_344
Alpha-beta 3OXNA_1_178_213	Q87TP2_275_310
Alpha-beta 3OYZA_10_78_99	D4GTL2_78_99
All-alpha 3OYZA_1_343_376	D4GTL2_343_376
All-beta 3P01A_4_126_152	Q8YLP5_257_283
Alpha-beta 3P01A_5_44_65	Q8YLP5_175_196
Alpha-beta 3P16A_3_327_375	P9WNU1_321_369
Alpha-beta 3P1VA_10_89_136	A7LS78_107_154
Alpha-beta 3P3DA_1_1_25	A5DMN1_259_283
All-beta 3P3YA_3_1_46	O94856_25_70
Alpha-beta 3P7IA_8_110_151	Q1R3F7_127_168
All-alpha 3PBKA_10_410_426	A0A0H2_411_427
Alpha-beta 3PC3A_16_385_422	Q9VRD9_380_417
All-alpha 3PEAA_5_223_240	A0A6L7_220_237
